classifier,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
SVC,0.93,0.995,0.977,0.932,0.931,"[[1750, 0, 0, 0, 0, 0],<br> [16, 1297, 283, 0, 0, 3],<br> [0, 195, 1521, 0, 0, 0],<br> [0, 0, 0, 1529, 7, 14],<br> [0, 0, 0, 15, 1178, 72],<br> [0, 0, 0, 13, 31, 1346]]","0.922, 0.913, 0.942<br>0.922, 0.903, 0.932<br>0.903, 0.863",0.913,14.326
Decision Tree,0.873,0.922,0.781,0.871,0.869,"[[1750, 0, 0, 0, 0, 0],<br> [15, 1343, 239, 1, 0, 1],<br> [0, 276, 1436, 3, 0, 1],<br> [0, 0, 0, 1365, 60, 125],<br> [0, 0, 0, 97, 1035, 133],<br> [0, 0, 0, 134, 88, 1168]]","0.883, 0.816, 0.922<br>0.932, 0.854, 0.864<br>0.903, 0.912",0.879,5.44
Gaussian NB,0.745,0.947,0.752,0.759,0.746,"[[1476, 247, 0, 0, 0, 27],<br> [46, 513, 1017, 0, 0, 23],<br> [61, 58, 1548, 0, 0, 49],<br> [0, 0, 0, 1127, 193, 230],<br> [0, 0, 0, 75, 965, 225],<br> [0, 0, 0, 24, 86, 1280]]","0.709, 0.728, 0.816<br>0.767, 0.699, 0.825<br>0.631, 0.755",0.742,2.43
Categorical NB,0.853,0.979,0.889,0.852,0.848,"[[1742, 0, 0, 0, 0, 8],<br> [40, 1179, 377, 0, 0, 3],<br> [1, 166, 1548, 0, 0, 1],<br> [0, 0, 0, 1219, 183, 148],<br> [0, 0, 0, 84, 992, 189],<br> [0, 0, 0, 40, 120, 1230]]","0.835, 0.913, 0.893<br>0.883, 0.903, 0.854<br>0.767, 0.824",0.858,2.342
