Model,n_estimators,max_features,Accuracy,ROC AUC,PR AUC,Precision,Recall,Confusion matrix,CV scores,CV mean score,Time (s)
CategoricalNB,5,sqrt,0.744,0.936,0.759,0.746,0.747,"[[1392, 160, 181, 0, 1, 16],<br> [193, 933, 451, 0, 1, 21],<br> [88, 422, 1200, 0, 0, 6],<br> [3, 3, 0, 1217, 229, 98],<br> [0, 0, 0, 176, 908, 181],<br> [1, 1, 0, 53, 84, 1251]]","0.680, 0.699, 0.748<br>0.670, 0.757, 0.709<br>0.563, 0.676",0.695,0.919
CategoricalNB,10,sqrt,0.836,0.968,0.871,0.834,0.832,"[[1727, 8, 7, 0, 0, 8],<br> [60, 1059, 470, 0, 0, 10],<br> [4, 218, 1489, 0, 0, 5],<br> [0, 2, 0, 1283, 192, 73],<br> [0, 0, 0, 117, 955, 193],<br> [0, 0, 0, 43, 110, 1237]]","0.806, 0.806, 0.777<br>0.757, 0.816, 0.835<br>0.612, 0.725",0.774,1.514
CategoricalNB,50,sqrt,0.818,0.973,0.893,0.835,0.814,"[[1682, 5, 55, 0, 0, 8],<br> [120, 805, 671, 0, 0, 3],<br> [23, 54, 1637, 0, 0, 2],<br> [0, 0, 0, 1263, 166, 121],<br> [0, 0, 0, 93, 980, 192],<br> [0, 0, 0, 60, 110, 1220]]","0.806, 0.903, 0.845<br>0.845, 0.893, 0.854<br>0.689, 0.804",0.83,5.601
CategoricalNB,100,sqrt,0.831,0.976,0.907,0.844,0.826,"[[1736, 1, 6, 0, 0, 7],<br> [65, 876, 655, 0, 0, 3],<br> [10, 47, 1658, 0, 0, 1],<br> [0, 0, 0, 1230, 174, 146],<br> [0, 0, 0, 97, 974, 194],<br> [0, 0, 0, 45, 116, 1229]]","0.816, 0.883, 0.845<br>0.825, 0.893, 0.854<br>0.689, 0.814",0.837,12.103
CategoricalNB,5,log2,0.57,0.834,0.54,0.596,0.577,"[[734, 40, 961, 3, 1, 11],<br> [290, 43, 1241, 1, 0, 24],<br> [226, 12, 1470, 0, 0, 8],<br> [10, 5, 81, 1158, 207, 89],<br> [0, 4, 2, 255, 836, 168],<br> [26, 12, 50, 162, 93, 1047]]","0.583, 0.583, 0.738<br>0.563, 0.689, 0.689<br>0.515, 0.559",0.615,0.607
CategoricalNB,10,log2,0.621,0.91,0.67,0.667,0.629,"[[757, 68, 910, 0, 1, 14],<br> [337, 170, 1074, 0, 0, 18],<br> [144, 41, 1524, 0, 0, 7],<br> [1, 0, 26, 1297, 175, 51],<br> [0, 0, 0, 158, 935, 172],<br> [6, 3, 14, 176, 116, 1075]]","0.621, 0.689, 0.738<br>0.641, 0.680, 0.748<br>0.563, 0.608",0.665,0.917
CategoricalNB,50,log2,0.687,0.958,0.826,0.786,0.691,"[[1204, 0, 538, 0, 0, 8],<br> [279, 42, 1270, 0, 0, 8],<br> [49, 0, 1665, 0, 0, 2],<br> [0, 0, 0, 1315, 153, 82],<br> [0, 0, 0, 121, 983, 161],<br> [0, 0, 1, 123, 105, 1161]]","0.718, 0.680, 0.806<br>0.699, 0.757, 0.835<br>0.621, 0.735",0.733,4.815
CategoricalNB,100,log2,0.734,0.971,0.876,0.807,0.733,"[[1588, 0, 155, 0, 0, 7],<br> [283, 71, 1240, 0, 0, 5],<br> [32, 0, 1681, 0, 0, 3],<br> [0, 0, 1, 1308, 143, 98],<br> [0, 0, 0, 134, 956, 175],<br> [0, 0, 0, 85, 101, 1204]]","0.728, 0.718, 0.835<br>0.777, 0.816, 0.854<br>0.631, 0.765",0.771,6.847
CategoricalNB,5,56,0.788,0.94,0.791,0.79,0.788,"[[1570, 81, 92, 0, 0, 7],<br> [96, 991, 507, 0, 0, 5],<br> [43, 347, 1325, 0, 0, 1],<br> [1, 0, 0, 1237, 214, 98],<br> [0, 0, 0, 96, 973, 196],<br> [0, 1, 0, 50, 127, 1212]]","0.835, 0.874, 0.845<br>0.825, 0.883, 0.825<br>0.699, 0.725",0.813,1.241
CategoricalNB,10,56,0.846,0.962,0.865,0.845,0.842,"[[1731, 7, 4, 0, 0, 8],<br> [40, 1115, 441, 0, 0, 3],<br> [3, 189, 1522, 0, 0, 2],<br> [0, 1, 0, 1265, 193, 91],<br> [0, 0, 0, 88, 989, 188],<br> [0, 0, 0, 40, 127, 1223]]","0.845, 0.874, 0.874<br>0.816, 0.883, 0.864<br>0.680, 0.794",0.828,2.557
CategoricalNB,50,56,0.843,0.97,0.894,0.846,0.839,"[[1739, 1, 2, 0, 0, 8],<br> [62, 1045, 489, 0, 0, 3],<br> [4, 126, 1585, 0, 0, 1],<br> [0, 0, 0, 1235, 183, 132],<br> [0, 0, 0, 82, 988, 195],<br> [0, 0, 0, 44, 119, 1227]]","0.854, 0.922, 0.854<br>0.825, 0.903, 0.874<br>0.718, 0.824",0.847,10.81
CategoricalNB,100,56,0.844,0.973,0.902,0.846,0.839,"[[1742, 0, 0, 0, 0, 8],<br> [54, 1073, 469, 0, 0, 3],<br> [4, 128, 1583, 0, 0, 1],<br> [0, 0, 0, 1214, 179, 157],<br> [0, 0, 0, 84, 991, 190],<br> [0, 0, 0, 43, 122, 1225]]","0.845, 0.922, 0.864<br>0.845, 0.893, 0.854<br>0.709, 0.814",0.845,23.414
